Père;Nature_Père;EP;Nature_EP;Intitulé;Nbre_Choix;ECTS;ECTS_CALCULE;Coefficient;;;;Volume CM;Volume CI;Volume TD;Volume TDM;Volume TP;Volume TPT;Volume TI;Volume PRJ;Responsables;Intervenants;Langue cours;Langue support;EP_POINTE;Thematique
IIEEL3;AN;EES5;SEMESTRE;SEMESTRE 5 - ELECTRONIQUE;;;30;;;;;0;0;0;0;0;0;0;0;Florian Kolbl;;Français;Français;EES5;
EES5;SEMESTRE;EE5A;UE;UE E5-A - Mathématiques 1/ Physique 1;;7;7;;;;;0;0;0;0;0;0;0;0;Patrice Tesson;;Français;Français;EE5A;
EE5A;UE;EE5MA101;MODULE;Techniques mathématiques pour l'ingénieur 1;;;;2,5;;;;13,33;0;18,66;0;0;0;12;0;Patrice Tesson;Patrice Tesson:tesson,Simon Villain-guillot:svillain,Adrien Vincent:avincent005;Français;Français;EE5MA101;
EE5A;UE;EE5MA102;MODULE;Probabilité;;;;1,5;;;;10,66;0;10,66;0;0;0;11;0;François Dufour;Luc De Montella:ldemontella,Baudouin Denis De Senneville:bdenisde,François Dufour:dufour,Florian Robert:frobert002;Français;Français;EE5MA102;
EE5A;UE;EE5PH101;MODULE;Electromagnétisme;;;;1,5;;;;12;0;12;0;0;0;11;0;Patrice Tesson;Kevin Caiveau:kcaiveau,Samir Lagoug:slagoug,Patrice Tesson:tesson;Français;Français;EE5PH101;Physique appliquée
EE5A;UE;EE5PH108;MODULE;Physique pour l'électronique;;;;1,5;;;;12;0;13,33;0;0;0;12;0;Nathalie Malbert;Marina Deng:mdeng001,Nathalie Labat:nalabat,Nathalie Malbert:nmalbert001;Français;Français;EE5PH108;
EES5;SEMESTRE;EE5B;UE;UE E5-B - Electronique générale 1;;9;9;;;;;0;0;0;0;0;0;0;0;Nathalie Deltimple;;Français;Français;EE5B;
EE5B;UE;EE5EA107;MODULE;Electronique générale;;;;3;;;;12;0;6,65;0;0;0;0;0;Nathalie Deltimple;Corinne Dejous:dejous,Nathalie Deltimple:deltimpl,Valéry Jean Lebret:lebret,Antoine Lhomel:alhomel;Français;Français;EE5EA107;
EE5B;UE;EE5EA108;MODULE;Projet/Travaux pratiques;;;;3;;;;0;0;0;0;33;0;10;0;Valery Lebret;Corinne Dejous:dejous,Roland Giraud:,Florian Kolbl:fkolbl,Valéry Jean Lebret:lebret,Antoine Lhomel:alhomel,Killian Montiege:kmontiege,François Rivet:frivet;Français;Français;EE5EA108;Electronique analogique
EE5B;UE;EE5EA118;MODULE;Circuits et systèmes I;;;;3;;;;14,67;0;9,33;6;0;0;12;0;Corinne Dejous;Corinne Dejous:dejous,Anthony Ghiotto:aghiotto,Jean-charles Henrion:jhenrion,Maxime Le Gall:mlgall003,Bernard Bobby Ngoune:bngoune,François Rivet:frivet;Français;Français;EE5EA118;"Electronique analogique
Circuits et systèmes linéaires - Méthodes d'analyse
Filtres analogiques passifs et actifs - Méthodologie de synthèse"
