Père;Nature_Père;EP;Nature_EP;Intitulé;Nbre_Choix;ECTS;ECTS_CALCULE;Coefficient;;;;Volume CM;Volume CI;Volume TD;Volume TDM;Volume TP;Volume TPT;Volume TI;Volume PRJ;Responsables;Intervenants;Langue cours;Langue support;EP_POINTE;Thematique
IIEIN3;AN;EIS5;SEMESTRE;SEMESTRE 5 - INFORMATIQUE;;;30;;;;;0;0;0;0;0;0;0;0;Amina Guermouche;;Français;Français;EIS5;
EIS5;SEMESTRE;EI5A;UE;UE I5-A - Algorithmique et mathématiques 1;;10;10;;;;;0;0;0;0;0;0;0;0;Frederic Herbreteau;;Français;Français;EI5A;
EI5A;UE;EI5IF101;MODULE;Initiation à l'algorithmique;;;;2;;;;0;21,5;0;0;0;0;12;0;Denis Lapoire;Maeva  Andriantsoamberomanga:mandriantso,Edgar Baucher:ebaucher,Denis Lapoire:lapoire,Theo Matricon:tmatricon;Français;Français;EI5IF101;
EI5A;UE;EI5IF102;MODULE;Structures arborescentes;;;;2;;;;0;21,5;0;0;0;0;10,5;0;Denis Lapoire;Josephine Calandra:jcalandra001,Naomi Chaix-eichel:nchaixeic001,Denis Lapoire:lapoire;Français;Français;EI5IF102;
EI5A;UE;EI5IS100;MODULE_CHOIX;Analyse des données et Théorie de l'information;1;;;1,5;;;;0;0;0;0;0;0;0;0;Lysiane Guenneguez;;Français;Français;EI5IS100;
EI5IS100;MODULE_CHOIX;EI5IS102;MODULE;Traitement de l'Information;;;;1,5;;;;16;0;0;0;0;0;8;0;Nicolas Papadakis;Kylian Desier:kdesier,Virginie Montalibet:vmontalibet,Nicolas Papadakis:npapadakis;Français;Anglais;EI5IS102;
EI5IS100;MODULE_CHOIX;EI5IS103;MODULE;Théorie de l'information;;;;1,5;;;;16;0;0;0;0;0;12;0;Pascal Vallet;Pascal Vallet:pvallet;Français;Français;EI5IS103;
EI5A;UE;EI5IS101;MODULE;Probabilités et statistiques;;;;2,5;;;;16;0;16;0;0;0;20;0;François Dufour;Marie Chavent:mchave100p,François Dufour:dufour,Alexandre Genadot:agenadot,Robin Genuer:rgenue100p,Brigitte Patouille:bpatou100p;Français;Français;EI5IS101;
EI5A;UE;EI5IF107;MODULE;Logique et preuve;;;;2;;;;9,33;0;14;0;0;0;10;0;Frédéric Herbreteau;Vincent Alba:valba,Edgar Baucher:ebaucher,Frédéric Herbreteau:herbrete,Radjasouria Vinayagame:rvinayagame;Français;Français;EI5IF107;Logique, induction, preuve de correction et terminaison d'algorithmes
EIS5;SEMESTRE;EI5B;UE;UE I5-B - Programmation et environnement informatique 1;;10;10;;;;;0;0;0;0;0;0;0;0;Floreal Morandat;;Français;Français;EI5B;
