Père;Nature_Père;EP;Nature_EP;Intitulé;Nbre_Choix;ECTS;ECTS_CALCULE;Coefficient;;;;Volume CM;Volume CI;Volume TD;Volume TDM;Volume TP;Volume TPT;Volume TI;Volume PRJ;Responsables;Intervenants;Langue cours;Langue support;EP_POINTE;Thematique
IIEMM3;AN;EMS5;SEMESTRE;SEMESTRE 5 - MATHÉMATIQUE ET MÉCANIQUE;;;30;;;;;0;0;0;0;0;0;0;0;Marie Touzet;;Français;Français;EMS5;
EMS5;SEMESTRE;EM5A;UE;UE M5-A - Mécanique I;;9;9;;;;;0;0;0;0;0;0;0;0;Pierre Lubin;;Français;Français;EM5A;
EM5A;UE;EM5FS102;MODULE;Travaux pratiques de Mécanique S5;;;;2;;;;0;0;0;0;17,5;0;11;0;Olivier Caty;Michel Castaings:mcastaings,Olivier Caty:ocaty,Jeremy Chevalier:jchevalie006,Andrej Kusiak:,Cédric Palka:cpalka,Marie-bénédicte Touzet Cortina:mtouzet;Français;Français;EM5FS102;
EM5A;UE;EM5MG102;MODULE;Mécanique des milieux continus et déformables - Introduction & Fluides;;;;2;;;;16;0;12;0;0;0;0;0;Antoine Lemoine,Olivier Caty;Olivier Caty:ocaty,Antoine Lemoine:anlemoin,Pierre Lubin:lubin;Français;Français;EM5MG102;
EM5A;UE;EM5MG100;MODULE;Mécanique des Systèmes de Solides;;;;3;;;;17,33;0;24;0;0;0;0;0;Thomas Brunet;Thomas Brunet:tbrunet,Marie-marthe Groz:mgroz;Français;Français;EM5MG100;
EM5A;UE;EM5MS103;MODULE;Mécanique des Milieux Continus Déformables - Résistance des Matériaux I;;;;2;;;;0;20;0;0;0;0;13;0;Olivier Caty,Marie-Benedicte Touzet Cortina,Antoine Lemoine;Olivier Caty:ocaty,Antoine Lemoine:anlemoin,Marie-bénédicte Touzet Cortina:mtouzet;Français;Français;EM5MS103;
EMS5;SEMESTRE;EM5B;UE;UE M5-B - Mathématiques I;;5;5;;;;;0;0;0;0;0;0;0;0;Kevin Santugini-Repiquet;;Français;Français;EM5B;
EM5B;UE;EM5AM105;MODULE;Equations Différentielles;;;;2,5;;;;16;0;14,66;0;2,66;0;0;0;Annabelle Collin;Annabelle Collin:acollin001,Marc Durufle:durufle,Ludovic Godard-cadillac:lgcadillac,Kevin Santugini Repiquet:santugin;Français;Français;EM5AM105;
EM5B;UE;EM5AM106;MODULE;Calcul Différentiel;;;;2,5;;;;22;0;22,66;0;0;0;20;0;Stephane Brull;Denise Aregba:aregba,Stéphane Brull:sbrull,Pedro Jaramillo Aguayo:pjaramilloag;Français;Français;EM5AM106;
EM5B;UE;EM5MA119;MODULE;Certificat de calcul;;;;;;;;0;0;0;0;0;0;5;0;Rodolphe Turpault;Denise Aregba:aregba,Stéphane Brull:sbrull,Mathieu Colin:mcolin,Marc Durufle:durufle,Ludovic Godard-cadillac:lgcadillac,Pierre Lubin:lubin,Luc Mieussens:mieussen,Marie-bénédicte Touzet Cortina:mtouzet,Rodolphe Turpault:rturpault;Français;Français;EM5MA119;
