Père;Nature_Père;EP;Nature_EP;Intitulé;Nbre_Choix;ECTS;ECTS_CALCULE;Coefficient;;;;Volume CM;Volume CI;Volume TD;Volume TDM;Volume TP;Volume TPT;Volume TI;Volume PRJ;Responsables;Intervenants;Langue cours;Langue support;EP_POINTE;Thematique
IIETE3;AN;ETS5;SEMESTRE;SEMESTRE 5 - TÉLÉCOMMUNICATIONS;;;30;;;;;0;0;0;0;0;0;0;0;Romain Tajan;;Français;Français;ETS5;
ETS5;SEMESTRE;ET5A;UE;UE T5-A - Informatique et Réseaux, niveau 1;;15;15;;;;;0;0;0;0;0;0;0;0;;;Français;Français;ET5A;
ET5A;UE;ET5IF110;MODULE;Systèmes d'exploitation;;;;4;;;;14,66;8;0;0;13,33;0;23,33;0;Joachim Bruneau-Queyreix;Joachim Bruneau-queyreix:jbruneauqueyreix,Romain Dulout:rdulout,Clara Marcille:pmarcille,Philippe Moniez:moniez,Augusta Mukam:amukam;Français;Français;ET5IF110;Informatique
ET5A;UE;ET5IF111;MODULE;Algorithmique et structure de données;;;;4;;;;8;16;9,33;0;0;0;20;0;Charles Grellois;Denis Lapoire:lapoire,Clara Marcille:pmarcille;Français;Français;ET5IF111;Informatique
ET5A;UE;ET5RE110;MODULE;Introduction aux réseaux;;;;3;;;;28;0;0;5,33;0;0;10;0;Daniel Negru;Daniel Negru:negru,Amina Teboulbi:ateboubli;Français;Français;ET5RE110;Réseaux
ET5A;UE;ET5PG109;MODULE;Programmation impérative;;;;4;;;;0;24;0;0;13,2;0;17,2;0;Guillaume Mercier;Joachim Bruneau-queyreix:jbruneauqueyreix,Kylian Desier:kdesier,Guillaume Mercier:mercier,Augusta Mukam:amukam,Philippe Swartvagher:pswartvaghe;Français;Français;ET5PG109;Informatique
ETS5;SEMESTRE;ET5B;UE;UE T5-B - Mathématiques de l'ingénieur et signal;;10;10;;;;;0;0;0;0;0;0;0;0;Éric Grivel;;Français;Français;ET5B;
ET5B;UE;ET5EA106;MODULE;Electronique de communications;;;;1,5;;;;0;10,66;0;5,33;0;0;20;0;Nathalie Deltimple;Nathalie Deltimple:deltimpl,François Rivet:frivet;Français;Français;ET5EA106;Electronique
ET5B;UE;ET5TS102;MODULE;Signaux continus ;;;;3,5;;;;12;10,66;5,33;0;0;0;10;0;Éric Grivel;Éric Grivel:grivel;Français;Français;ET5TS102;Traitement du signal
ET5B;UE;ET5MA105;MODULE;Probabilités;;;;3,5;;;;12;0;12;0;13,33;0;17;0;Pascal Vallet,Alexandre Genadot;Mirco Ciallella:mciallella,Luc De Montella:ldemontella,Alexandre Genadot:agenadot,Pierre Minvielle-larrousse:pminviell001,Pascal Vallet:pvallet;Français;Français;ET5MA105;Mathématiques appliquées
ET5B;UE;ET5MA118;MODULE;Optimisation;;;;1,5;;;;6,66;0;2,66;0;13,33;0;23;0;Audrey Giremus;Secil Ercan:sercan,Audrey Giremus:giremus,Camille Palmier:capalmier,Marwane * Rezzouki *:,Solene Vilfroy:svilfroy;Français;Français;ET5MA118;Mathématiques appliquées
ETS5;SEMESTRE;ET5C;UE;UE T5-C - Langues et culture de l'ingénieur;;5;5;;;;;0;0;0;0;0;0;0;0;;;Français;Français;EE5D;
ET5C;UE;EE5LC113;MODULE;LV1 Anglais S5;;;;1,5;;;;0;0;26;0;0;0;13;0;Leann Stevens-Larre;;Anglais;Anglais;EE5LC113;
ET5C;UE;EE5LC102;MODULE;LV2  S5 ;;;;1;;;;0;0;18,66;0;0;0;7;0;Kenneth Beirne;Generoso Agrafojo:agrafojo,Adrien Barbosa Da Cunha:abarbosadac,Airi Cannasse:acannasse,Etsumi Gabrion:esatogabrio,Estefania Guerrero Lopez:eguerrerolop,Paola Perego:pperego,Lucia Perriere:lperriere,Matthias Richter:mrichter002,Leann Stevens-larre:lstevens,Agustina Velasquez:velasque,Martin Yue:myue;Français;Français;EE5LC102;"Deuxième langue étrangère, au choix parmi l'allemand, l'espagnol, l'italien, le portugais, le chinois et le japonais. D'autres langues peuvent être suivies grâce à un accord avec l'Université de Montaigne. 
Le français langue étangère (FLE) et dans certains cas l'anglais ""faux débutants"" sont considérés comme LV2. 
Une 3e langue ou une activité artistique est en option. 
L'évaluation des options apporte un bonus de 0 à 2 points au contrôle continu de la LV2. "
ET5C;UE;EE5LC109;MODULE;Activité Physique Sportive et Artistique (S5);;;;1;;;;0;0;24;0;0;0;0;0;Dominique Veschambre;Philippe Romant:promant,Dominique Veschambre:veschamb;Français;Français;EE5LC109;
ET5C;UE;EE5CE161;MODULE;Développement durable et responsabilité sociétale : Partie 1/2;;;;0,5;;;;7;0;0;0;3;0;0;0;Christophe Jego,Armande Capitaine,Annabelle Collin;Nicolas Barral:nbarral001,Natalie Bonneton:bonneton,Olivier Caty:ocaty,Annabelle Collin:acollin001,Mathieu Coquerelle:mcoquerelle,Corinne Dejous:dejous,Mathieu Faverge:mfaverge,Christophe JÉgo:cjego,Patrick Lanusse:lanusse,Sylvain Lombardy:slombardy,Luc Mieussens:mieussen,Sylvie Renaud:renaud,Rodolphe Turpault:rturpault,Adrien Vincent:avincent005;Français;Français;EE5CE161;Entreprise - environnement - société
ET5C;UE;EE5CE199;MODULE;Intégrer l'entreprise;;;;1;;;;10,66;0;0;0;0;0;4;0;Eric Astien;Vanessa Barbier:vbarbier001,Isabelle Biarnes-poulliat:ibiarnespoul,Loïc Grall:lgrall002,Gaelle Lacaze:glardic,Hugues Nicolas:hnicolas004,Estelle Prot:eprot,Emmanuelle Serres:eserres001;Français;Français;EE5CE199;Entreprise - projet professionnel - métiers
