Père,Nature_Père,EP,Nature_EP,Intitulé,Nbre_Choix,ECTS,ECTS_CALCULE,Coefficient,,,,Volume CM,Volume CI,Volume TD,Volume TDM,Volume TP,Volume TPT,Volume TI,Volume PRJ,Responsables,Intervenants,Langue cours,Langue support,EP_POINTE,Thematique
IIEEL3,AN,EES6,SEMESTRE,SEMESTRE 6 - ELECTRONIQUE,,,30,,,,,0,0,0,0,0,0,0,0,Florian Kolbl,,Français,Français,EES6,
EES6,SEMESTRE,EE6A,UE,"UE E6-A - Mathématiques, Signal, Automatique",,8,8,,,,,0,0,0,0,0,0,0,0,Patrice Tesson,,Français,Français,EE6A,
EE6A,UE,EE6AU103,MODULE,Automatique 1 : Modélisation et Commande des Systèmes Dynamiques Continus,,,,1.5,,,,13.33,0,5.33,0,0,0,10,0,"Patrick Lanusse,Pierre Melchior,Mathieu Chevrie","Mathieu Chevrie:mchevrie,Patrick Lanusse:lanusse,Pierre Melchior:melchior",Français,Français,EE6AU103,Automatique
EE6A,UE,EE6AU104,MODULE,TP d'Automatique,,,,1.5,,,,0,0,21,0,0,0,5,0,"Mathieu Chevrie,Patrick Lanusse,Pierre Melchior","Mathieu Chevrie:mchevrie,Pierre Melchior:melchior,Enso Ndreko:endreko,Monika Pasquali:mpasquali,Albert Robinet De Saint-omer:",Français,Français,EE6AU104,Automatique
EE6A,UE,EE6MA108,MODULE,Techniques mathématiques pour l'ingénieur 2,,,,3,,,,12,2.66,17.33,0,0,0,10,0,Patrice Tesson,"Patrice Tesson:tesson,Adrien Vincent:avincent005",Français,Français,EE6MA108,
EE6A,UE,EE6TS101,MODULE,Traitement du signal continu,,,,2,,,,10.67,0,12,0,0,0,10,0,Éric Grivel,"Éric Grivel:grivel,Lucas Steffanutto:lsteffanutto,Solene Vilfroy:svilfroy",Français,Français,EE6TS101,
EES6,SEMESTRE,EE6B,UE,UE E6-B - Electronique 2,,8,8,,,,,0,0,0,0,0,0,0,0,Valéry Lebret,,Français,Français,EE6B,
EE6B,UE,EE6EA104,MODULE,Interconnexions et intégrité des signaux,,,,1.5,,,,8,3,2.66,0,0,0,6,0,Patrice Tesson,Patrice Tesson:tesson,Français,Français,EE6EA104,
EE6B,UE,EE6EA113,MODULE,Projet d'électronique analogique,,,,3.5,,,,0,0,35,0,0,0,18,0,Valery Lebret,"David BÉdÈnes:bedenes,Pierre Ferrer:pferrer002,Jean-charles Henrion:jhenrion,Florian Kolbl:fkolbl,Samir Lagoug:slagoug,Valéry Jean Lebret:lebret,Jean-michel Vinassa:jvinassa,Adrien Vincent:avincent005",Français,Français,EE6EA113,Conception de circuits en électronique analogique sur carte imprimée
EE6B,UE,EE6EA116,MODULE,Introduction à l'Electronique Intégrée,,,,3,,,,1.33,0,8,0,21,0,12,0,Nathalie Deltimple,"Nathalie Deltimple:deltimpl,Pierre Ferrer:pferrer002,Antoine Lhomel:alhomel,Rémi Queheille:rqueheill001,Sylvie Renaud:renaud,François Rivet:frivet,Thierry Taris:ttaris",Français,Français,EE6EA116,"Electronique Analogique
Micro-electronique Intégrée
Formation logiciel Cadence"
