Père,Nature_Père,EP,Nature_EP,Intitulé,Nbre_Choix,ECTS,ECTS_CALCULE,Coefficient,,,,Volume CM,Volume CI,Volume TD,Volume TDM,Volume TP,Volume TPT,Volume TI,Volume PRJ,Responsables,Intervenants,Langue cours,Langue support,EP_POINTE,Thematique
IIEMM3,AN,EMS6,SEMESTRE,SEMESTRE 6 - MATHÉMATIQUE ET MÉCANIQUE,,,30,,,,,0,0,0,0,0,0,0,0,Marie Touzet,,Français,Français,EMS6,
EMS6,SEMESTRE,EM6A,UE,UE M6-A - Mécanique II,,9,9,,,,,0,0,0,0,0,0,0,0,Natalie Bonneton,,Français,Français,EM6A,
EM6A,UE,EM6FS103,MODULE,Travaux pratiques de Mécanique S6,,,,2,,,,0,0,0,0,21,0,9,0,Olivier Caty,"Michel Castaings:mcastaings,Jeremy Chevalier:jchevalie006,Romain Kubecki:,Zouhir Maslah:zmaslah,Cédric Palka:cpalka",Français,Français,EM6FS103,
EM6A,UE,EM6MF102,MODULE,Mécanique des Milieux Continus et Déformables - Fluides - II,,,,2.5,,,,14,0,20,0,0,0,0,0,"Natalie Bonneton,Antoine Lemoine","Natalie Bonneton:bonneton,Antoine Lemoine:anlemoin,Pierre Lubin:lubin",Français,Français,EM6MF102,
EM6A,UE,EM6MS101,MODULE,Dynamique des Structures Mécaniques,,,,2.5,,,,0,13.33,12,5.33,0,0,0,0,"Thomas Brunet,Michel Castaings","Thomas Brunet:tbrunet,Michel Castaings:mcastaings,Samuel Rodriguez:sarodrig",Français,Français,EM6MS101,
EM6A,UE,EM6MS104,MODULE,Mécanique des Milieux Continus Déformables - Résistance des Matériaux - II,,,,2,,,,0,20,0,0,0,0,13,0,Olivier Caty,"Olivier Caty:ocaty,Antoine Lemoine:anlemoin,Marie-bénédicte Touzet Cortina:mtouzet",Français,Français,EM6MS104,
EMS6,SEMESTRE,EM6B,UE,UE M6-B - Mathématiques II,,6,6,,,,,0,0,0,0,0,0,0,0,François Dufour,,Français,Français,EM6B,
EM6B,UE,EM6AM107,MODULE,Intégration,,,,3,,,,18.66,0,20,0,0,0,0,0,Mathieu Colin,"Ludovic Godard-cadillac:lgcadillac,Kevin Santugini Repiquet:santugin",Français,Français,EM6AM107,
EM6B,UE,EM6PS101,MODULE,Probabilité,,,,3,,,,18.66,0,20,0,0,0,22,0,François Dufour,"Luc De Montella:ldemontella,François Dufour:dufour,Emma Lagracie:,Brigitte Patouille:bpatou100p",Français,Français,EM6PS101,
EMS6,SEMESTRE,EM6C,UE,UE M6-C - Calcul scientifique II,,10,10,,,,,0,0,0,0,0,0,0,0,Luc Mieussens,,Français,Français,EM6C,
