Père,Nature_Père,EP,Nature_EP,Intitulé,Nbre_Choix,ECTS,ECTS_CALCULE,Coefficient,,,,Volume CM,Volume CI,Volume TD,Volume TDM,Volume TP,Volume TPT,Volume TI,Volume PRJ,Responsables,Intervenants,Langue cours,Langue support,EP_POINTE,Thematique
IAEEE3,AN,ESS6,SEMESTRE,SEMESTRE 6 - SYSTÈMES ELECTRONIQUES EMBARQUÉS,,,30,,,,,0,0,0,0,0,0,0,0,Camille Leroux,,Français,Français,ESS6,
ESS6,SEMESTRE,ES6A,UE,UE SEE6-A - Conception Électronique,,4,4,,,,,0,0,0,0,0,0,0,0,Camille Leroux,,Français,Français,ES6A,
ES6A,UE,ES6AU101,MODULE,Systèmes Linéaires,,,,0.25,,,,0,16,0,0,0,0,0,0,Pierre Melchior,Pierre Melchior:melchior,Français,Français,ES6AU101,
ES6A,UE,ES6EA111,MODULE,Fonctions analogiques,,,,0.4,,,,0,36,0,0,0,0,0,0,Herve Lapuyade,"Herve Lapuyade:hlapuyad,Frederic Verdier:",Français,Français,ES6EA111,
ES6A,UE,ES6EN112,MODULE,Conception numérique,,,,0.35,,,,0,32,0,0,0,0,0,0,Camille Leroux,Dominique Dallet:dallet,Français,Français,ES6EN112,
ESS6,SEMESTRE,ES6B,UE,UE SEE6-B - Outils Informatiques,,3,3,,,,,0,0,0,0,0,0,0,0,Floréal Morandat,,Français,Français,ES6B,
ES6B,UE,ES6MI100,MODULE,Architecture des micro-contrôleurs,,,,0.4,,,,0,28,0,0,0,0,0,0,Mathieu Escouteloup,Mathieu Escouteloup:mescoutelou,Français,Français/Anglais,ES6MI100,Systèmes à base de microcontrôleur dans l'objectif de contrôler un ensemble de capteurs et actionneurs sur un système embarqué
ES6B,UE,ES6MI105,MODULE,Projet micro-contrôleur en langage C,,,,0.25,,,,0,16,0,0,0,0,0,0,Mathieu Escouteloup,"Mathieu Escouteloup:mescoutelou,Jonathan Saussereau:jsaussereau",Français,Français,ES6MI105,exercer les étudiants sur un cas de réalisation concret
ES6B,UE,ES6IF126,MODULE,Langage C pour l'électronique,,,,0.35,,,,0,24,0,0,0,0,0,0,Floréal Morandat,Floréal Morandat:fmorandat,Français,Français,ES6IF126,
ESS6,SEMESTRE,ES6C,UE,UE SEE6-C - Technologies de fabrication,,2,2,,,,,0,0,0,0,0,0,0,0,Corinne Dejous,,Français,Français,ES6C,
ES6C,UE,ES6ME100,MODULE,Technologies imprimées,,,,0.35,,,,0,16,0,0,0,0,0,0,Stephane Gauffre,"Stéphane * Gauffre *:,Jean-luc Lachaud:jlachaud",Français,Français,ES6ME100,
ES6C,UE,ES6ME101,MODULE,Technologies nano et micro-électroniques,,,,0.35,,,,0,24,0,0,0,0,0,0,Corinne Dejous,"Helene Debeda-hickel:,Corinne Dejous:dejous,Isabelle Favre:favre,Jean-luc Lachaud:jlachaud,Bernard Plano:plano",Français,Français,ES6ME101,
ES6C,UE,ES6ME102,MODULE,Capteurs pour l'embarqué,,,,0.3,,,,0,12,0,0,0,0,0,0,Corinne Dejous,Corinne Dejous:dejous,Français,Français,ES6ME102,
ESS6,SEMESTRE,ES6D,UE,UE SEE6-D - Outils mathématiques,,4,4,,,,,0,0,0,0,0,0,0,0,Yannick Berthoumieu,,Français,Français,ES6D,
