Père,Nature_Père,EP,Nature_EP,Intitulé,Nbre_Choix,ECTS,ECTS_CALCULE,Coefficient,,,,Volume CM,Volume CI,Volume TD,Volume TDM,Volume TP,Volume TPT,Volume TI,Volume PRJ,Responsables,Intervenants,Langue cours,Langue support,EP_POINTE,Thematique
IIETE3,AN,ETS6,SEMESTRE,SEMESTRE 6 - TÉLÉCOMMUNICATIONS,,,30,,,,,0,0,0,0,0,0,0,0,Romain Tajan,,Français,Français,ETS6,
ETS6,SEMESTRE,ET6A,UE,"UE T6-A - Informatique et Réseaux, niveau 2",,10,10,,,,,0,0,0,0,0,0,0,0,Jean-Remy Falleri-Vialard,,Français,Français,ET6A,
ET6A,UE,ET6IT103,MODULE,Programmation Web,,,,2.5,,,,0,20,0,0,0,0,20,10.66,Jean-Remy Falleri,"Clara Marcille:pmarcille,Philippe Swartvagher:pswartvaghe,Amina Teboulbi:ateboubli",Français,Français,ET6IT103,Informatique
ET6A,UE,ET6PG110,MODULE,Projet programmation ,,,,2.5,,,,0,8,0,0,0,0,24,18.66,Charles Grellois,"Soukaina Ihirri:sihirri,Philippe Swartvagher:pswartvaghe,Amina Teboulbi:ateboubli",Français,Français,ET6PG110,Informatique
ET6A,UE,ET6RE111,MODULE,Les Réseaux Internet,,,,5,,,,40,0,0,20,0,0,15,0,Daniel Negru,"Soukaina Ihirri:sihirri,Daniel Negru:negru,Amina Teboulbi:ateboubli",Français,Français,ET6RE111,Réseaux
ETS6,SEMESTRE,ET6B,UE,UE T6-B - Signal et communications,,15,15,,,,,0,0,0,0,0,0,0,0,Yannick Berthoumieu,,Français,Français,ET6B,
ET6B,UE,ET6TS108,MODULE,Processus et signaux aléatoires,,,,4,,,,13.33,0,10.66,0,4,0,15,0,Éric Grivel,"Éric Grivel:grivel,Solene Vilfroy:svilfroy",Français,Français,ET6TS108,Mathématiques et traitement du signal
ET6B,UE,ET6TS113,MODULE,Communications numériques,,,,4,,,,0,24,10.66,0,0,0,12,0,Guillaume Ferré,"Malek Ellouze:mellouze,Guillaume FerrÉ:ferre,Romain Tajan:rtajan",Français,Français,ET6TS113,Communications numériques
ET6B,UE,ET6TS114,MODULE,Traitement numérique du signal,,,,4,,,,9.33,0,8,0,13,0,10,15,Yannick Berthoumieu,"Yannick Berthoumieu:berthoum,Malek Ellouze:mellouze,Thomas LorblanchÈs:tlorblanche,Romain Tajan:rtajan,Pascal Vallet:pvallet",Français,Français,ET6TS114,Traitement du signal et de l'image
ET6B,UE,ET6TS115,MODULE,Théorie de l'information,,,,3,,,,8,0,5.33,0,4,0,13,0,Yannick Berthoumieu,"Yannick Berthoumieu:berthoum,Pascal Vallet:pvallet",Français,Français,ET6TS115,Traitement du signal et de l'image
ETS6,SEMESTRE,ET6E,UE,UE T6-C - Langues et culture de l'ingénieur,,5,5,,,,,0,0,0,0,0,0,0,0,,,Français,Français,EE6E,
ET6E,UE,EE6LC104,MODULE,LV1 Anglais S6,,,,1.5,,,,0,10,16,0,0,0,10,0,Leann Stevens-Larre,"Kenneth Beirne:beirne,Claudia Couturier:brosnaha,Katie Johnston:kjohnston,Géraldine Llopis:gllopis,Pablo Loring:ploring,Emilie Paillard:epaillard,Leann Stevens-larre:lstevens,Matthew Stroud:mstroud,Helen Wilbourne:hwilbourne",Anglais,Anglais,EE6LC104,
ET6E,UE,EE6LC112,MODULE,LV2  S6,,,,1,,,,0,0,18.66,0,0,0,7,0,Kenneth Beirne,"Generoso Agrafojo:agrafojo,Adrien Barbosa Da Cunha:abarbosadac,Kenneth Beirne:beirne,Airi Cannasse:acannasse,Etsumi Gabrion:esatogabrio,Estefania Guerrero Lopez:eguerrerolop,Paola Perego:pperego,Lucia Perriere:lperriere,Matthias Richter:mrichter002,Leann Stevens-larre:lstevens,Agustina Velasquez:velasque,Martin Yue:myue",Français,Français,EE6LC112,"Deuxième langue étrangère, au choix parmi l'allemand, l'espagnol, l'italien, le portugais, le chinois et le japonais. D'autres langues peuvent être suivies grâce à un accord avec l'Université de Montaigne. 
Le français langue étangère (FLE) et dans certains cas l'anglais ""faux débutants"" sont considérés comme LV2. 
Une 3e langue ou une activité artistique est en option. 
L'évaluation des options apporte un bonus de 0 à 2 points au contrôle continu de la LV2. "
ET6E,UE,EE6LC106,MODULE,Activités Physiques Sportives et artistiques (S6),,,,1,,,,0,0,24,0,0,0,0,0,Dominique Veschambre,"Philippe Romant:promant,Dominique Veschambre:veschamb",Français,Français,EE6LC106,
ET6E,UE,EE6CE162,MODULE,Développement durable et responsabilité sociétale : Partie 2/2,,,,0.5,,,,2,0,0,0,12,0,0,0,"Christophe Jego,Armande Capitaine,Annabelle Collin","Annabelle Collin:acollin001,Corinne Dejous:dejous,Anthony Ghiotto:aghiotto,Christophe JÉgo:cjego,Sylvie Renaud:renaud,Adrien Vincent:avincent005",Français,Français,EE6CE162,Entreprise - environnement - société
ET6E,UE,EE6CE167,MODULE,Intégrer l'entreprise,,,,1,,,,10,0,14,0,0,0,4,0,Eric Astien,,Français,Français,EE6CE167,Entreprise - métiers - communication - manager - entrepreneuriat - gestion de projet
